sku,qty,price
51845-BE,100000,"1,720"
51845-RD,100000,"1,720"
51846-BK,100000,"2,090"
51847-BK,100000,"6,290"
51848-SR,100000,"4,600"
51849-BK,100000,"3,250"
51849-WE,100000,"3,250"
51850,100000,"5,500"
51851-WE,100000,"4,890"
51852-BK,100000,"18,480"
51853,100000,"12,430"
51854,100000,"12,430"
51855,100000,"4,090"
51856,100000,"9,430"
51857-BK,100000,"2,930"
51857-WE,100000,"2,930"
51858-BK,100000,"2,300"
51858-WE,100000,"2,300"
51859-BKR,100000,"4,090"
51859-SR,100000,"4,090"
51860,100000,"12,590"
51861-WE,100000,"5,620"
51862,100000,"4,990"
51863,100000,"6,920"
51864,100000,"11,530"
51865,100000,"88,880"
51866-BK,100000,"9,650"
51866-SR,100000,"9,650"
51866-WE,100000,"9,650"
51867-BK,100000,"4,090"
51868-BE,100000,"3,790"
51868-BK,100000,"3,790"
51868-BN,100000,"3,790"
51870-BE,100000,"1,150"
51870-BK,100000,"1,150"
51870-RD,100000,"1,150"
51870-SR,100000,"1,150"
51871-GY,100000,"6,920"
51872,100000,"32,960"
51873,100000,"12,080"
51874,100000,"6,920"
51875-BK,100000,"11,530"
51876,100000,"8,180"
51877,100000,"9,020"
51878-BK,100000,"1,560"
51878-WE,100000,"1,560"
51879-BKBK,100000,"5,760"
51879-BKWE,100000,"5,760"
51880,100000,"1,460"
51881,100000,"9,230"
51882,100000,"7,760"
51883-BE,100000,"0,920"
51883-BK,100000,"0,920"
51883-RD,100000,"0,920"
51883-WE,100000,"0,920"
51884-BK,100000,"3,990"
51884-SR,100000,"3,990"
51888-BK,100000,"5,500"
51888-BK-R,100000,"5,500"
51888-WE,100000,"5,500"
51888-WE-R,100000,"5,500"
51889-BK,100000,"0,790"
51889-WE,100000,"0,790"
51891-BKR,100000,"2,090"
51891-WER,100000,"2,090"
51892-RD,100000,"3,460"
51893,100000,"1,360"
51894,100000,"1,520"
51895,100000,"25,700"
51896,100000,"11,180"
51897,100000,"6,920"
51898,100000,"3,990"
51899,100000,"4,990"
51900,100000,"14,990"
51902-WE,100000,"0,260"
51903-WE,100000,"1,250"
51904-BE,100000,"2,720"
51904-BK,100000,"2,720"
51905,100000,"2,130"
51906,100000,"4,990"
51907,100000,"11,530"
51908-BE,100000,"0,990"
51908-BK,100000,"0,990"
51908-RD,100000,"0,990"
51908-WE,100000,"0,990"
51910,100000,"6,990"
51911,100000,"17,850"
51912-BK,100000,"3,090"
51912-GY,100000,"3,090"
51912-SR,100000,"3,090"
51913,100000,"20,520"
51914,100000,"77,780"
51915,100000,"32,990"
51916-BE,100000,"0,750"
51916-BK,100000,"0,750"
51916-WE,100000,"0,750"
51917-BE,100000,"0,330"
51917-RD,100000,"0,330"
51917-WE,100000,"0,330"
51918-WE,100000,"0,190"
51919-BE,100000,"1,490"
51919-RD,100000,"1,490"
51919-WE,100000,"1,490"
51920-WE,100000,"0,260"
51921-DBE,100000,"0,290"
51921-GY,100000,"0,290"
51921-RD,100000,"0,290"
51922-WEBE,100000,"0,550"
51922-WERD,100000,"0,550"
51922-WEWE,100000,"0,550"
51923-WEBE,100000,"0,550"
51923-WEGY,100000,"0,550"
51923-WERD,100000,"0,550"
51924-WE,100000,"1,720"
51925-BE,100000,"1,990"
51925-BK,100000,"1,990"
51925-RD,100000,"1,990"
51926,100000,"0,800"
51927,100000,"0,800"
51928,100000,"0,800"
51929,100000,"8,500"
51930,100000,"4,990"
51932-WE,100000,"0,560"
51934,100000,"3,490"
51935,100000,"11,530"
51936-BE,100000,"1,690"
51936-BK,100000,"1,690"
51936-MG,100000,"1,690"
51936-OE,100000,"1,690"
51936-RD,100000,"1,690"
51936-WE,100000,"1,690"
51938,100000,"4,090"
51939-BK,100000,"6,990"
51940,100000,"3,780"
51941,100000,"3,780"
51942-WEBK,100000,"6,600"
51943-WEWE,100000,"0,920"
51944,100000,"131,990"
51945,100000,"16,850"
51946,100000,"5,490"
51947,100000,"4,500"
51948-BKSR,100000,"9,890"
51949-BK,100000,"10,500"
51950-DGY,100000,"11,490"
51951-BK,100000,"2,690"
51952-BK,100000,"3,490"
51953-BK,100000,"4,990"
51953-BN,100000,"4,990"
51954-BK,100000,"6,990"
51954-SR,100000,"6,990"
51957,100000,"3,650"
51958-BK,100000,"0,650"
51964,100000,"9,990"
51975-WE,100000,"4,490"
51976,100000,"2,590"
51977,100000,"6,990"
51978-BKBK,100000,"1,690"
51978-BKSR,100000,"1,690"
51979,100000,"2,290"
51980,100000,"8,990"
51981-WE,100000,"14,290"
51982,100000,"19,990"
51983-WE,100000,"12,850"
51984-BE,100000,"2,990"
51984-BK,100000,"2,990"
51984-DRD,100000,"2,990"
51984-GY,100000,"2,990"
51985-BE,100000,"1,690"
51985-BK,100000,"1,690"
51985-DRD,100000,"1,690"
51985-GY,100000,"1,690"
51986,100000,"4,700"
51987,100000,"2,290"
51988-BK,100000,"3,790"
51988-BN,100000,"3,790"
51989,100000,"6,990"
51990-BK,100000,"2,590"
51990-BN,100000,"2,590"
51991-BK,100000,"9,990"
51991-BN,100000,"9,990"
51992-BK,100000,"5,990"
51992-BN,100000,"5,990"
51993-BE-4GB,100000,"5,680"
51993-BK-4GB,100000,"5,680"
51993-GY-4GB,100000,"5,680"
51993-LGN-4GB,100000,"5,680"
51993-MG-4GB,100000,"5,680"
51993-OE-4GB,100000,"5,680"
51993-RD-4GB,100000,"5,680"
51993-WE-4GB,100000,"5,680"
51993-YW-4GB,100000,"5,680"
51994-BE,100000,"0,600"
