sku,price,errors
51187,3.560,"Product Type is invalid or not supported"
51195,9.960,"Product Type is invalid or not supported"
51196,6.080,"Product Type is invalid or not supported"
51197,7.230,"Product Type is invalid or not supported"
51198,9.230,"Product Type is invalid or not supported"
51202,4.190,"Product Type is invalid or not supported"
51206,13.230,"Product Type is invalid or not supported"
51207,7.820,"Product Type is invalid or not supported"
51208,5.760,"Product Type is invalid or not supported"
51213,14.500,"Product Type is invalid or not supported"
51214,21.620,"Product Type is invalid or not supported"
51225,0.420,"Product Type is invalid or not supported"
51240,12.080,"Product Type is invalid or not supported"
51241,2.420,"Product Type is invalid or not supported"
51242-BK,1.460,"Product Type is invalid or not supported"
51251,14.990,"Product Type is invalid or not supported"
51265-BK,5.200,"Product Type is invalid or not supported"
51290,9.990,"Product Type is invalid or not supported"
51291,16.790,"Product Type is invalid or not supported"
51294,43.580,"Product Type is invalid or not supported"
51295-GY,8.930,"Product Type is invalid or not supported"
51299,24.130,"Product Type is invalid or not supported"
51310,8.720,"Product Type is invalid or not supported"
51311,8.080,"Product Type is invalid or not supported"
51323-RD,0.420,"Product Type is invalid or not supported"
51327,10.390,"Product Type is invalid or not supported"
51330,2.620,"Product Type is invalid or not supported"
51338,6.920,"Product Type is invalid or not supported"
51339,9.190,"Product Type is invalid or not supported"
51340,4.190,"Product Type is invalid or not supported"
51341,4.290,"Product Type is invalid or not supported"
51348,4.590,"Product Type is invalid or not supported"
51350,1.500,"Product Type is invalid or not supported"
51351,1.500,"Product Type is invalid or not supported"
51354,3.660,"Product Type is invalid or not supported"
51356,3.990,"Product Type is invalid or not supported"
51357,4.820,"Product Type is invalid or not supported"
51358,7.330,"Product Type is invalid or not supported"
51359,13.630,"Product Type is invalid or not supported"
51360,10.450,"Product Type is invalid or not supported"
51361,6.200,"Product Type is invalid or not supported"
51364,6.600,"Product Type is invalid or not supported"
51367,2.930,"Product Type is invalid or not supported"
51369,16.790,"Product Type is invalid or not supported"
51371,2.720,"Product Type is invalid or not supported"
51374,10.490,"Product Type is invalid or not supported"
51376,24.980,"Product Type is invalid or not supported"
51377,4.190,"Product Type is invalid or not supported"
51377-S,3.690,"Product Type is invalid or not supported"
51377-SR,3.690,"Product Type is invalid or not supported"
51378,10.490,"Product Type is invalid or not supported"
51381,9.990,"Product Type is invalid or not supported"
51391,11.030,"Product Type is invalid or not supported"
51393,28.660,"Product Type is invalid or not supported"
51394,19.930,"Product Type is invalid or not supported"
51401-BE,0.790,"Product Type is invalid or not supported"
51401-RD,0.790,"Product Type is invalid or not supported"
51401-WE,0.790,"Product Type is invalid or not supported"
51402-WE,1.030,"Product Type is invalid or not supported"
51405,8.350,"Product Type is invalid or not supported"
51410,3.130,"Product Type is invalid or not supported"
51412,12.430,"Product Type is invalid or not supported"
51413,5.760,"Product Type is invalid or not supported"
51414,6.920,"Product Type is invalid or not supported"
51415,4.400,"Product Type is invalid or not supported"
51416,8.720,"Product Type is invalid or not supported"
51417,15.730,"Product Type is invalid or not supported"
51418,1.490,"Product Type is invalid or not supported"
51419,1.490,"Product Type is invalid or not supported"
51423,11.180,"Product Type is invalid or not supported"
51424,52.330,"Product Type is invalid or not supported"
51427,6.080,"Product Type is invalid or not supported"
51428,11.860,"Product Type is invalid or not supported"
51430,2.480,"Product Type is invalid or not supported"
51433,4.960,"Product Type is invalid or not supported"
51437,6.590,"Product Type is invalid or not supported"
51438,5.200,"Product Type is invalid or not supported"
51440-BE,0.500,"Product Type is invalid or not supported"
51440-WE,0.500,"Product Type is invalid or not supported"
51441-BK,0.800,"Product Type is invalid or not supported"
51441-RD,0.800,"Product Type is invalid or not supported"
51441-WE,0.800,"Product Type is invalid or not supported"
51442,5.560,"Product Type is invalid or not supported"
51443,2.620,"Product Type is invalid or not supported"
51444,2.480,"Product Type is invalid or not supported"
51445,22.030,"Product Type is invalid or not supported"
51454,12.430,"Product Type is invalid or not supported"
51455,9.990,"Product Type is invalid or not supported"
51457,33.060,"Product Type is invalid or not supported"
51458-BE,0.880,"Product Type is invalid or not supported"
51458-GY,0.880,"Product Type is invalid or not supported"
51458-RD,0.880,"Product Type is invalid or not supported"
51460-BE,0.320,"Product Type is invalid or not supported"
51460-BK,0.320,"Product Type is invalid or not supported"
51460-RD,0.230,"Product Type is invalid or not supported"
51460-WE,0.320,"Product Type is invalid or not supported"
51462,26.230,"Product Type is invalid or not supported"
51467,0.920,"Product Type is invalid or not supported"
51467-BK,0.920,"Product Type is invalid or not supported"
51469,5.200,"Product Type is invalid or not supported"
51472,10.490,"Product Type is invalid or not supported"
51473,5.620,"Product Type is invalid or not supported"
51474,3.990,"Product Type is invalid or not supported"
51475,4.400,"Product Type is invalid or not supported"
51476,6.990,"Product Type is invalid or not supported"
51477,4.820,"Product Type is invalid or not supported"
51478,2.720,"Product Type is invalid or not supported"
51480,10.490,"Product Type is invalid or not supported"
51481,16.750,"Product Type is invalid or not supported"
51482,4.600,"Product Type is invalid or not supported"
51483,2.820,"Product Type is invalid or not supported"
51487,4.290,"Product Type is invalid or not supported"
51493,1.290,"Product Type is invalid or not supported"
51494,4.820,"Product Type is invalid or not supported"
51495,3.880,"Product Type is invalid or not supported"
51496,5.620,"Product Type is invalid or not supported"
51497,14.850,"Product Type is invalid or not supported"
51498,7.690,"Product Type is invalid or not supported"
51499,8.080,"Product Type is invalid or not supported"
51501,24.980,"Product Type is invalid or not supported"
51502,7.330,"Product Type is invalid or not supported"
51503,4.990,"Product Type is invalid or not supported"
51504,8.700,"Product Type is invalid or not supported"
51505,12.430,"Product Type is invalid or not supported"
51508,11.180,"Product Type is invalid or not supported"
51509,16.790,"Product Type is invalid or not supported"
51510,57.730,"Product Type is invalid or not supported"
51511-BK,3.720,"Product Type is invalid or not supported"
51511-SR,3.720,"Product Type is invalid or not supported"
51512,14.690,"Product Type is invalid or not supported"
51514,2.990,"Product Type is invalid or not supported"
51517-BE,3.290,"Product Type is invalid or not supported"
51517-LRD,3.290,"Product Type is invalid or not supported"
51518-BK,0.980,"Product Type is invalid or not supported"
51518-LRD,0.980,"Product Type is invalid or not supported"
51518-SR,0.980,"Product Type is invalid or not supported"
51518-WE,0.980,"Product Type is invalid or not supported"
51519,6.200,"Product Type is invalid or not supported"
51520,8.390,"Product Type is invalid or not supported"
51521,3.990,"Product Type is invalid or not supported"
51522,6.560,"Product Type is invalid or not supported"
51523,9.990,"Product Type is invalid or not supported"
51524,12.990,"Product Type is invalid or not supported"
51528,4.990,"Product Type is invalid or not supported"
51530,9.290,"Product Type is invalid or not supported"
51531,13.630,"Product Type is invalid or not supported"
51533,3.880,"Product Type is invalid or not supported"
51534,2.820,"Product Type is invalid or not supported"
51535,6.200,"Product Type is invalid or not supported"
51537,2.190,"Product Type is invalid or not supported"
51538,4.990,"Product Type is invalid or not supported"
51540-BK,1.150,"Product Type is invalid or not supported"
51540-WE,1.150,"Product Type is invalid or not supported"
51541-BK,0.800,"Product Type is invalid or not supported"
51541-WE,0.800,"Product Type is invalid or not supported"
51546,41.950,"Product Type is invalid or not supported"
51549,10.180,"Product Type is invalid or not supported"
51550,6.560,"Product Type is invalid or not supported"
51551,11.180,"Product Type is invalid or not supported"
51552,28.590,"Product Type is invalid or not supported"
51554,2.990,"Product Type is invalid or not supported"
51555,2.990,"Product Type is invalid or not supported"
51556,4.820,"Product Type is invalid or not supported"
51557,2.090,"Product Type is invalid or not supported"
51558,3.130,"Product Type is invalid or not supported"
51559,49.860,"Product Type is invalid or not supported"
51560,11.860,"Product Type is invalid or not supported"
51562-GD,1.730,"Product Type is invalid or not supported"
51562-SR,1.730,"Product Type is invalid or not supported"
51563,13.850,"Product Type is invalid or not supported"
51566,9.990,"Product Type is invalid or not supported"
51567,11.180,"Product Type is invalid or not supported"
51568,15.730,"Product Type is invalid or not supported"
51569,9.430,"Product Type is invalid or not supported"
51570,10.650,"Product Type is invalid or not supported"
51571,11.990,"Product Type is invalid or not supported"
51572,11.990,"Product Type is invalid or not supported"
51574,2.190,"Product Type is invalid or not supported"
51576-GY,11.500,"Product Type is invalid or not supported"
51576-RD,11.500,"Product Type is invalid or not supported"
51577,4.600,"Product Type is invalid or not supported"
51578,7.550,"Product Type is invalid or not supported"
51579,7.330,"Product Type is invalid or not supported"
51580,33.500,"Product Type is invalid or not supported"
51581,28.900,"Product Type is invalid or not supported"
51582-LGY,1.030,"Product Type is invalid or not supported"
51583-LGY,3.560,"Product Type is invalid or not supported"
51584-LGY,2.990,"Product Type is invalid or not supported"
51585-LGY,6.200,"Product Type is invalid or not supported"
51586-LGY,1.620,"Product Type is invalid or not supported"
51587-LGY,2.300,"Product Type is invalid or not supported"
51592,2.980,"Product Type is invalid or not supported"
51593,2.980,"Product Type is invalid or not supported"
51594,2.300,"Product Type is invalid or not supported"
51595,2.300,"Product Type is invalid or not supported"
51596,4.600,"Product Type is invalid or not supported"
51601,31.490,"Product Type is invalid or not supported"
51602,24.980,"Product Type is invalid or not supported"
51603,37.390,"Product Type is invalid or not supported"
51604,2.990,"Product Type is invalid or not supported"
51606-BK,2.990,"Product Type is invalid or not supported"
51606-SBE,2.990,"Product Type is invalid or not supported"
51606-SBK,1.850,"Product Type is invalid or not supported"
51608-BK,3.720,"Product Type is invalid or not supported"
51608-SBE,3.720,"Product Type is invalid or not supported"
51608-SBK,3.720,"Product Type is invalid or not supported"
51610-BK,2.690,"Product Type is invalid or not supported"
51610-OE,2.690,"Product Type is invalid or not supported"
51610-SBK,2.690,"Product Type is invalid or not supported"
51612,7.990,"Product Type is invalid or not supported"
51613,8.790,"Product Type is invalid or not supported"
51614,9.990,"Product Type is invalid or not supported"
51615-BK,0.760,"Product Type is invalid or not supported"
51615-RD,0.760,"Product Type is invalid or not supported"
51615-WE,0.760,"Product Type is invalid or not supported"
51618-BE,0.530,"Product Type is invalid or not supported"
51618-BK,0.530,"Product Type is invalid or not supported"
51618-RD,0.530,"Product Type is invalid or not supported"
51618-WE,0.530,"Product Type is invalid or not supported"
51619,16.790,"Product Type is invalid or not supported"
