sku,qty,price,errors
51562-GD,100000,"1,730","Product Type is invalid or not supported"
51562-SR,100000,"1,730","Product Type is invalid or not supported"
51563,100000,"13,850","Product Type is invalid or not supported"
51566,100000,"9,990","Product Type is invalid or not supported"
51567,100000,"11,180","Product Type is invalid or not supported"
51568,100000,"15,730","Product Type is invalid or not supported"
51569,100000,"9,430","Product Type is invalid or not supported"
51570,100000,"10,650","Product Type is invalid or not supported"
51571,100000,"11,990","Product Type is invalid or not supported"
51572,100000,"11,990","Product Type is invalid or not supported"
51574,100000,"2,190","Product Type is invalid or not supported"
51576-GY,100000,"11,500","Product Type is invalid or not supported"
51576-RD,100000,"11,500","Product Type is invalid or not supported"
51577,100000,"4,600","Product Type is invalid or not supported"
51578,100000,"7,550","Product Type is invalid or not supported"
51579,100000,"7,330","Product Type is invalid or not supported"
51580,100000,"33,500","Product Type is invalid or not supported"
51581,100000,"28,900","Product Type is invalid or not supported"
51582-LGY,100000,"1,030","Product Type is invalid or not supported"
51583-LGY,100000,"3,560","Product Type is invalid or not supported"
51584-LGY,100000,"2,990","Product Type is invalid or not supported"
51585-LGY,100000,"6,200","Product Type is invalid or not supported"
51586-LGY,100000,"1,620","Product Type is invalid or not supported"
51587-LGY,100000,"2,300","Product Type is invalid or not supported"
51592,100000,"2,980","Product Type is invalid or not supported"
51593,100000,"2,980","Product Type is invalid or not supported"
51594,100000,"2,300","Product Type is invalid or not supported"
51595,100000,"2,300","Product Type is invalid or not supported"
