sku,price
70112,99.990
70114,120.000
70122,10.990
70124,10.490
70129,79.990
70129-CH,81.990
70130,18.480
70131,56.990
70135-BK,69.290
70135-WE,69.290
70136,45.990
70137-BK,40.420
70137-WE,40.420
70139,25.990
70140,16.760
70141,58.580
70142,61.200
70143-BK,17.850
70143-WE,17.850
70144-BK,13.630
70145-BK,20.590
70146,10.190
70147,11.180
70148,11.180
70149,11.180
70150,17.500
70151,17.790
70152,19.620
70153,17.830
70154,19.620
70155,19.620
70156,62.990
70158,27.700
70159,29.390
70160,58.500
70161,17.420
70162,27.290
70163,23.090
70164,25.190
70165,13.850
70166,60.890
70166-MG,60.890
70167,17.420
70170,20.780
70171,44.930
70172,104.990
70172-CH,125.990
70174,29.990
70175,26.230
70176,26.230
70177-BK,28.290
70177-BN,28.290
70177-WE,28.290
70178-BK,28.860
70178-BN,28.860
70178-WE,28.860
70179,34.630
70180,31.490
70181-BK,104.950
70181-OE,104.950
70182-BK,97.000
70182-WE,97.000
70183,78.530
70184-BE,27.990
70184-BK,27.990
70184-RD,27.990
70185-BE,12.590
70185-BK,12.590
70185-BN,12.590
70185-GN,12.590
70185-GNP,12.590
70185-GY,12.590
70185-LBE,12.590
70185-LGN,12.590
70185-MG,12.590
70185-MGP,12.590
70185-OE,12.590
70185-PE,12.590
70185-PEP,12.590
70185-RD,12.590
70185-WE,12.590
70185-YW,12.590
70186-BE,13.590
70186-BK,13.590
70186-GN,13.590
70186-LBE,13.590
70186-LGN,13.590
70186-MG,13.590
70186-OE,13.590
70186-PE,13.590
70186-RD,13.590
70186-WE,13.590
70186-YW,13.590
70187-BK,49.950
70187-WE,49.950
70188-BK,26.490
70188-WE,26.490
70191,125.000
70192,125.000
70193-BK,41.950
70193-WE,41.950
70194-BK,13.590
70194-WE,13.590
70195-BK,51.950
70195-SR,51.950
70196-BE,37.590
70196-SR,37.590
70197-BE,37.590
70197-SR,37.590
70200-BE,17.790
70200-BK,17.790
70200-GN,17.790
70200-LBE,17.790
70200-LGN,17.790
70200-MG,17.790
70200-OE,17.790
70200-PE,17.790
70200-RD,17.790
70200-WE,17.790
70200-YW,17.790
70201-BE,18.850
70201-BK,18.850
70201-GN,18.850
70201-LBE,18.850
70201-LGN,18.850
70201-MG,18.850
70201-OE,18.850
70201-PE,18.850
70201-RD,18.850
70201-WE,18.850
70201-YW,18.850
70202-NGN,12.590
70202-NOE,12.590
70203-NGN,13.590
70203-NOE,13.590
70204,13.690
70205,15.690
70206-BE,16.890
70206-BK,16.890
70206-LBE,16.890
70206-LGN,16.890
70206-MG,16.890
70206-OE,16.890
70206-RD,16.890
70206-WE,16.890
70207-BE,18.890
70207-BK,18.890
70207-LBE,18.890
70207-LGN,18.890
70207-MG,18.890
70207-OE,18.890
70207-RD,18.890
70207-WE,18.890
70208,24.950
70209,34.590
70210-BEBE,11.950
70210-BELGN,11.950
70210-BEOE,11.950
70210-BEYW,11.950
70210-BKBK,11.950
70210-BKLBE,11.950
70210-BKOE,11.950
70210-BKYW,11.950
70210-RDBK,11.950
70210-RDRD,11.950
70210-WELGN,11.950
70210-WEMG,11.950
70210-WEOE,11.950
70210-WEWE,11.950
70211-BE,8.950
70211-BK,8.950
70211-LBE,8.950
70211-LGN,8.950
70211-MG,8.950
70211-OE,8.950
70211-RD,8.950
70211-WE,8.950
70212-WESR,9.590
70213-BK,15.690
70213-WE,15.690
70215-BE,19.950
70215-BE/WE/RD,19.950
70215-BK,19.950
70215-BK/GY/RD,19.950
70215-LBE,19.950
70215-LGN,19.950
70215-MG,19.950
70215-OE,19.950
70215-RD,19.950
70215-SR/BE/OE,19.950
70215-SR/BN/RD,19.950
70215-WE,19.950
70215-YW,19.950
70216,58.950
70217,49.950
70218,64.950
70219,39.950
70220,33.950
70221,33.950
70222,33.950
70223,23.950
70224,23.950
70225,23.950
70227,23.700
70228-BK,8.500
70228-MG,8.500
70229,24.990
70230,34.990
70231-BE,44.990
70231-BK,44.990
70231-BN,44.990
70231-LBE,44.990
70231-LGN,44.990
70231-OE,44.990
70380-BK 01,21.500
70380-SR 34,24.490
70380-WE 35,21.500
70420-BK 01,22.500
70420-SR 34,25.900
70420-WE 35,22.500
70555-BE,9.350
70555-BK,9.350
