sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
51499,All Websites [EUR],ALL GROUPS,1,8.080
51501,All Websites [EUR],ALL GROUPS,1,24.980
51502,All Websites [EUR],ALL GROUPS,1,7.330
51503,All Websites [EUR],ALL GROUPS,1,4.990
51504,All Websites [EUR],ALL GROUPS,1,8.700
51505,All Websites [EUR],ALL GROUPS,1,12.430
51508,All Websites [EUR],ALL GROUPS,1,11.180
51509,All Websites [EUR],ALL GROUPS,1,16.790
51510,All Websites [EUR],ALL GROUPS,1,57.730
51511-BK,All Websites [EUR],ALL GROUPS,1,3.720
51511-SR,All Websites [EUR],ALL GROUPS,1,3.720
51512,All Websites [EUR],ALL GROUPS,1,14.690
51514,All Websites [EUR],ALL GROUPS,1,2.990
51517-BE,All Websites [EUR],ALL GROUPS,1,3.290
51517-LRD,All Websites [EUR],ALL GROUPS,1,3.290
51518-BK,All Websites [EUR],ALL GROUPS,1,980
51518-LRD,All Websites [EUR],ALL GROUPS,1,980
51518-SR,All Websites [EUR],ALL GROUPS,1,980
51518-WE,All Websites [EUR],ALL GROUPS,1,980
51519,All Websites [EUR],ALL GROUPS,1,6.200
51520,All Websites [EUR],ALL GROUPS,1,8.390
51521,All Websites [EUR],ALL GROUPS,1,3.990
51522,All Websites [EUR],ALL GROUPS,1,6.560
51523,All Websites [EUR],ALL GROUPS,1,9.990
51524,All Websites [EUR],ALL GROUPS,1,12.990
51528,All Websites [EUR],ALL GROUPS,1,4.990
51530,All Websites [EUR],ALL GROUPS,1,9.290
51531,All Websites [EUR],ALL GROUPS,1,13.630
51533,All Websites [EUR],ALL GROUPS,1,3.880
51534,All Websites [EUR],ALL GROUPS,1,2.820
51535,All Websites [EUR],ALL GROUPS,1,6.200
51537,All Websites [EUR],ALL GROUPS,1,2.190
51538,All Websites [EUR],ALL GROUPS,1,4.990
51540-BK,All Websites [EUR],ALL GROUPS,1,1.150
51540-WE,All Websites [EUR],ALL GROUPS,1,1.150
51541-BK,All Websites [EUR],ALL GROUPS,1,800
51541-WE,All Websites [EUR],ALL GROUPS,1,800
51546,All Websites [EUR],ALL GROUPS,1,41.950
51549,All Websites [EUR],ALL GROUPS,1,10.180
